,MultipleLines,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,Churn
1071,0,0,0,49.05,91.1,1
718,0,1,1,50.35,1277.5,0
2364,1,0,0,82.65,1185,0
1505,1,0,0,74.7,74.7,1
670,0,0,0,19.85,1039.45,0
4221,0,0,0,19.3,19.3,0
5632,0,0,0,20.3,1131.5,0
4030,0,0,0,51.0,286.8,0
897,1,1,1,105.55,5682.25,0
5667,0,0,0,20.15,91.4,0
2836,1,1,1,98.7,4920.55,0
1530,0,0,1,90.0,190.05,1
4556,0,0,0,67.75,116.65,1
5621,1,0,0,74.75,229.5,1
2955,1,1,1,93.85,635.6,1
6468,0,0,0,44.6,641.25,0
2908,1,1,1,99.4,1742.95,1
6825,1,0,0,81.3,2272.8,0
5366,0,1,0,59.75,3996.8,0
1874,1,1,1,86.45,3574.5,0
2370,1,1,1,112.55,7806.5,0
1769,1,0,1,93.25,6669.45,0
5114,1,0,0,83.4,4113.7,0
5577,0,0,0,19.1,1007.8,0
1983,1,1,1,80.85,2204.35,0
531,0,0,0,20.05,1360.25,0
5039,0,0,1,79.6,195.05,1
5317,0,0,0,49.65,267.35,1
6082,1,1,1,101.1,6039.9,1
5330,0,1,0,92.5,934.1,1
2163,1,1,1,98.5,3004.15,1
731,0,0,0,20.35,92.75,0
2339,1,1,1,94.25,1973.75,1
6876,0,1,1,104.3,6613.65,0
2232,0,0,0,19.45,754.5,0
6157,0,0,0,19.85,64.55,1
2926,1,1,1,116.0,8182.85,0
1255,0,0,0,30.9,59.05,1
2104,1,0,1,85.2,627.4,1
5144,0,0,0,30.75,82.85,0
3879,0,0,0,45.75,45.75,1
898,0,1,1,98.9,1120.95,1
428,1,0,0,75.6,1395.05,0
4857,0,0,0,24.9,505.95,0
2893,1,0,0,59.0,1254.7,1
5509,0,0,0,46.0,221.7,1
6371,1,0,0,25.15,553,0
1222,0,1,0,69.25,4447.75,0
5352,0,1,1,98.65,2537,0
6032,1,1,1,105.3,7299.65,1
4038,0,0,0,20.6,1093,0
4609,1,0,0,55.1,1466.1,0
3176,1,0,0,25.5,1281.25,0
1096,0,1,1,81.25,580.1,0
2072,0,0,0,19.35,779.2,0
6358,0,1,1,80.45,5886.85,0
3842,1,1,1,95.0,2462.55,0
5940,0,0,0,85.85,4793.8,0
1788,0,0,0,19.6,1134.25,0
5101,1,1,0,106.65,1672.1,0
6549,0,0,1,56.25,56.25,1
528,0,0,0,19.6,686.95,0
3143,1,1,0,72.8,930.05,0
192,0,0,0,19.75,1375.4,0
6251,0,0,0,19.25,19.25,0
1126,0,0,0,74.65,544.55,1
2689,1,1,1,116.75,8277.05,0
2707,0,1,1,98.7,293.65,1
6890,0,0,1,61.1,3357.9,0
304,1,0,0,81.85,3141.7,0
2957,1,0,0,80.3,324.2,0
1292,1,1,1,84.5,5193.2,0
70,0,0,0,49.05,49.05,0
5978,1,0,0,84.25,3847.6,0
4394,1,0,0,59.55,1144.6,0
2615,1,1,1,91.35,6697.2,0
831,1,0,0,25.05,963.95,0
3075,1,1,1,105.7,7472.15,0
1456,1,1,1,100.0,1534.75,1
4287,1,1,1,105.95,6975.25,1
238,0,1,1,95.0,1120.3,1
92,1,1,1,84.0,5714.25,0
2687,0,0,1,91.0,2626.15,0
6256,0,0,1,35.05,35.05,1
6115,0,1,1,109.5,7854.9,0
5515,0,0,0,19.35,309.25,0
4304,0,0,0,19.0,918.7,0
5187,1,1,1,104.4,4133.95,0
4417,0,0,0,70.45,70.45,1
1001,1,0,0,75.5,1893.95,1
3857,0,0,0,20.65,93.55,0
6750,0,0,0,35.2,1463.7,0
2377,0,0,0,55.3,2654.05,0
3758,0,0,0,49.55,49.55,0
3532,0,0,1,59.45,892.65,1
3554,0,0,0,71.05,472.65,0
1532,0,0,0,19.6,300.4,0
2410,1,0,0,80.45,3398.9,0
4254,1,0,0,84.45,2467.1,1
411,1,0,0,24.45,1066.15,0
3296,0,0,0,49.3,1233.25,0
6757,0,1,1,59.3,3014.65,1
6503,0,1,1,60.35,4138.7,0
5171,0,0,0,45.9,505.95,0
5866,0,0,0,19.65,68.35,0
3322,1,0,1,84.45,762.5,1
3231,0,1,1,84.45,1287.85,0
6423,1,0,0,24.25,1784.5,0
5361,0,0,0,20.4,84.75,0
4397,1,1,0,103.95,7556.9,0
633,0,0,0,20.35,176.3,0
498,0,0,0,28.45,131.05,1
2463,1,0,1,85.65,659.45,0
3792,0,1,1,91.25,2351.8,1
637,1,0,0,70.9,4911.35,0
720,0,0,0,20.2,34.75,0
288,0,0,0,74.5,606.55,1
757,0,0,0,19.85,57.2,0
2543,1,1,1,98.15,1230.25,1
4762,0,0,0,69.15,2275.1,0
4162,0,1,1,65.7,4575.35,0
4207,0,1,0,43.55,1011.5,0
4058,1,0,0,84.85,3303.05,1
596,0,1,0,54.85,916.15,0
5465,0,0,0,56.05,1553.2,0
1068,1,1,1,99.05,4853.75,1
1942,0,0,0,19.2,908.15,0
1647,0,1,0,79.5,868.5,1
3378,0,1,1,84.45,6033.1,0
1700,0,0,0,20.45,943,0
5646,0,0,0,19.25,19.25,1
4159,1,0,0,89.75,5496.9,0
2697,1,1,1,87.95,6365.35,0
4373,0,0,0,20.05,520.1,0
3966,1,1,1,107.7,7919.8,0
6854,0,0,0,20.0,32.7,0
86,0,1,0,62.15,2215.45,0
2308,0,1,1,104.65,7288.4,0
4741,0,1,1,94.65,1285.05,0
3827,0,0,0,20.45,34.8,0
2847,1,0,0,79.3,2015.8,0
1029,0,1,0,88.3,273.75,1
3656,0,0,0,49.8,2398.4,0
3786,1,0,0,75.75,1929,0
2144,0,0,0,50.5,147.75,0
6573,0,0,1,51.0,2264.5,0
1200,1,1,1,104.5,3778,0
2025,1,1,1,116.85,8477.7,0
621,1,0,0,92.05,5755.8,0
6402,1,0,0,59.8,3246.45,0
566,0,1,1,101.9,1667.25,0
1837,0,0,0,20.05,20.05,1
1334,0,0,0,25.2,25.2,1
5690,0,1,1,61.2,4390.25,0
6697,1,1,1,79.3,2427.1,0
2099,1,0,0,78.85,3126.85,0
6695,1,0,0,71.1,5224.95,0
2644,0,0,0,33.5,600,1
5501,0,0,0,25.1,382.8,0
1688,0,0,0,20.15,804.85,0
745,1,1,1,110.8,7882.25,0
5398,0,0,0,19.75,39.3,0
2820,1,0,0,24.05,1301.9,0
2187,1,1,1,116.25,8564.75,0
195,0,1,0,96.55,1901.65,0
1152,0,1,0,54.85,370.4,0
2650,1,0,0,84.35,1302.65,0
4633,1,0,0,24.05,1709.15,0
802,1,0,0,23.8,903.8,0
4303,1,0,0,25.5,1121.05,0
2350,1,1,0,84.0,424.75,0
6662,0,0,0,39.65,1798.65,0
5661,0,0,0,19.85,63,0
2068,1,1,0,100.75,4669.2,0
5434,1,0,1,95.3,3275.15,0
644,1,0,0,25.25,394.85,0
6222,1,0,1,89.4,5976.9,0
5272,1,1,0,90.1,521.3,1
3892,0,0,0,19.7,340.35,0
4884,0,1,1,94.9,3848,0
120,1,1,1,99.8,5515.45,0
1777,1,0,0,54.9,1505.15,0
6661,0,1,1,53.65,3784,0
5656,0,0,0,49.75,49.75,0
2135,1,1,1,106.6,5893.95,0
3951,1,1,0,79.15,5536.5,0
5768,0,1,1,90.65,3974.15,0
134,0,0,0,44.35,81.25,1
6216,1,0,0,71.6,4230.25,0
6617,1,1,1,83.45,3887.85,0
3095,0,0,1,84.8,888.75,0
2559,1,1,1,115.55,8425.3,0
62,0,0,0,42.1,2962,0
4587,0,0,1,85.9,2196.45,0
6129,0,0,1,39.9,2020.9,0
3487,0,0,0,20.1,1078.75,0
3358,0,0,0,53.45,1461.45,0
3771,0,1,0,79.05,79.05,1
679,1,0,0,81.4,3775.85,0
4486,1,0,1,89.2,5500.6,0
741,0,0,0,80.45,137.1,0
1211,1,0,1,66.35,740.8,1
2170,0,0,0,60.25,1258.35,0
3689,0,0,0,71.15,71.15,1
6215,1,1,1,98.25,560.6,1
567,1,1,0,73.5,5357.75,0
1873,0,1,0,70.65,5011.15,0
4295,0,0,0,60.95,4119.4,0
2596,0,1,0,58.85,1215.45,0
1717,0,0,0,19.7,1421.9,0
1392,0,0,0,20.1,620.55,0
5282,1,1,1,95.2,292.85,1
3544,1,1,0,93.8,3019.5,1
3613,0,1,1,50.05,2743.45,0
489,1,0,0,74.35,74.35,1
4022,0,0,0,18.85,163.2,0
690,0,0,0,20.45,20.45,0
5019,1,1,1,95.6,1273.3,0
602,1,0,0,74.25,4859.25,0
1911,1,1,0,106.1,7657.4,0
7040,0,0,0,29.6,346.45,0
4525,0,0,1,93.4,2979.3,0
6365,1,1,1,101.95,700.85,1
5829,0,1,1,59.95,1848.8,0
3235,0,0,0,43.7,2696.55,0
2366,0,0,0,70.15,70.15,1
1187,1,1,1,104.05,7413.55,0
274,0,0,0,70.6,70.6,1
3978,0,1,1,90.7,237.65,0
1361,1,0,0,78.45,330.05,1
6271,1,0,0,85.9,2220.1,0
1526,0,1,1,95.4,293.15,0
3312,0,0,0,20.3,20.3,0
3023,1,1,1,89.7,6339.3,0
6941,0,0,1,50.7,3088.75,0
4246,1,1,1,110.2,7467.5,0
4617,0,0,0,20.7,39.85,0
6619,0,0,0,20.15,238.15,0
1337,0,0,0,20.4,609.1,0
945,1,0,0,74.4,215.8,1
6787,1,1,1,109.95,3782.4,0
2250,0,0,0,20.1,302.45,0
5783,0,1,1,89.3,89.3,1
3473,1,1,1,106.15,4512.7,1
3044,0,0,0,45.4,45.4,1
2346,1,0,1,95.75,6849.4,0
68,0,0,0,20.15,930.9,0
5152,1,0,0,25.65,1388,0
4996,1,0,1,74.05,3496.3,0
1598,0,0,0,19.55,520.55,0
3309,0,0,0,19.9,527.5,0
5059,1,1,1,99.15,3615.6,1
4560,1,1,0,90.35,767.9,0
1503,1,1,1,102.15,4735.35,0
4365,1,1,1,79.8,5034.05,0
150,0,1,1,68.55,564.35,0
4310,0,1,1,65.6,4566.5,0
2086,0,1,0,80.85,1400.85,1
6417,1,0,0,77.5,3807.35,1
2259,0,0,0,20.85,161.65,0
3049,0,0,0,19.75,58.85,1
5804,1,0,0,23.9,1663.5,0
5424,1,1,0,92.7,5968.4,0
6793,1,1,1,108.4,7767.25,0
859,0,1,1,64.8,4719.75,0
6196,1,1,1,110.05,7430.75,0
2718,0,0,0,43.7,2618.3,0
4490,1,1,1,115.6,6431.05,0
3193,0,0,0,19.1,52,0
366,0,0,1,59.95,1406,0
1432,0,0,0,20.75,739.9,0
4923,0,0,0,49.75,2535.55,0
1779,0,1,0,91.15,168.5,0
4280,0,0,0,19.7,1274.05,0
3258,0,0,0,24.4,24.4,0
1818,1,0,0,74.35,4453.3,0
6884,0,0,1,35.15,99.75,1
841,1,1,1,105.0,7589.8,0
1189,0,0,1,85.7,256.75,0
175,1,0,0,24.7,780.2,0
3684,1,0,0,75.35,3161.4,0
617,1,1,1,102.85,6976.75,0
2093,1,0,0,24.8,223.9,0
6535,0,1,1,102.35,3626.1,1
4092,0,0,0,20.25,20.25,0
3717,0,0,0,48.95,1323.7,0
1030,0,0,0,69.75,3557.7,0
3671,1,0,0,75.1,75.1,1
300,0,1,1,64.9,1509.8,0
1472,1,0,0,74.4,896.75,1
283,1,0,0,54.45,3687.75,0
2028,0,0,0,19.6,331.6,0
3491,0,1,0,70.95,3250.45,0
6111,1,0,1,83.85,3532.25,0
5582,1,0,0,24.0,1183.05,0
1813,0,1,1,75.5,75.5,0
1271,0,1,0,53.6,2879.2,0
2716,0,0,0,44.9,839.65,0
4545,0,0,0,44.15,44.15,0
3646,0,0,0,81.9,3219.75,0
2313,1,1,1,104.3,4451.85,0
2008,1,0,0,87.1,341.45,1
4231,1,0,1,80.6,5708.2,0
2642,0,0,1,85.3,4045.65,1
3265,0,0,0,70.75,1974.8,1
6415,0,1,0,45.35,2540.1,0
3796,1,0,0,49.1,679.55,1
6917,1,0,0,84.05,6052.25,0
3194,0,1,1,55.55,2342.2,1
99,0,1,1,98.5,2514.5,1
5087,0,0,0,20.35,41.85,0
744,0,0,0,44.05,202.15,0
6513,1,0,0,59.65,867.1,0
480,0,0,0,19.65,225.75,0
4650,1,0,0,26.45,911.6,0
6839,1,1,1,100.75,1129.75,1
4962,0,1,1,74.55,1215.8,0
1157,1,1,0,97.95,5936.55,0
1437,1,0,0,49.0,1291.35,0
2414,0,0,0,20.2,507.9,0
4100,0,0,0,19.8,1013.2,0
402,1,1,1,99.45,7007.6,1
2195,1,0,0,25.55,672.2,0
949,0,0,0,20.5,759.35,0
3781,0,0,0,19.1,529.5,0
2067,1,1,1,103.15,6792.45,0
4769,0,0,0,19.9,666,0
4918,0,0,0,19.55,1086.75,0
668,0,0,0,45.65,191.05,1
218,1,1,1,84.2,5324.5,0
1962,0,1,1,99.95,2292.75,0
3010,1,0,0,80.45,3162.65,0
3519,1,1,0,84.85,3645.6,0
2213,1,0,0,25.25,274.7,0
2633,1,1,0,100.15,6643.5,0
4077,1,1,1,95.8,1346.3,0
3555,1,1,0,85.25,1734.5,1
4708,0,0,0,61.3,3346.8,0
4657,0,0,0,25.1,1097.15,0
2145,0,0,0,72.9,818.45,0
777,1,0,0,82.0,184.65,1
2434,0,0,0,19.65,60.65,0
4536,0,0,0,69.35,69.35,1
3909,0,0,0,19.55,223.15,0
4643,1,1,0,65.25,209.9,0
1491,0,0,0,19.55,19.55,0
2917,0,0,0,19.95,1303.25,0
5780,0,0,0,20.2,1068.15,0
6405,1,1,1,101.4,6176.6,0
5265,1,1,0,88.9,6000.1,0
4017,1,0,0,59.0,1654.45,0
517,0,0,0,70.05,302.6,0
4740,0,0,1,39.1,971.3,1
6869,0,0,0,54.15,2319.8,1
3822,1,1,0,94.05,518.75,0
4818,0,0,0,80.3,5017.7,0
6857,0,1,1,92.85,5305.05,0
3340,1,1,0,83.15,446.05,1
4878,1,1,0,59.05,1882.8,0
568,1,1,1,100.25,3527.6,1
360,0,0,0,20.2,83.75,0
3123,0,0,0,69.95,1205.5,0
4574,1,1,1,105.75,7629.85,0
6472,1,1,0,94.15,5811.8,0
3025,1,0,0,26.3,1688.9,0
759,1,0,0,90.35,6563.4,0
3590,0,0,0,19.85,943.1,0
6743,1,0,0,24.0,226.55,0
5714,1,1,1,97.95,384.5,1
4663,1,0,0,74.9,321.75,1
214,1,0,1,86.8,1975.85,0
6837,0,1,0,79.7,497.6,0
3833,1,1,1,74.75,827.05,0
2858,0,0,0,20.55,252.75,0
4733,0,0,0,84.6,959.9,0
4078,0,1,0,67.5,1544.05,1
3148,0,0,0,75.45,3545.1,0
1473,1,1,1,98.75,2407.3,1
2244,1,0,0,64.4,2088.75,1
725,0,0,0,21.25,204.55,0
3995,0,0,0,74.9,2068.55,1
49,1,0,0,64.15,4254.1,0
6406,0,1,1,50.65,1905.4,0
887,1,1,1,110.5,2857.6,0
6159,0,0,0,20.5,38.25,0
5033,0,0,0,19.4,19.4,0
6357,1,0,0,89.75,5769.6,1
516,0,0,0,54.3,1546.3,0
3000,1,1,0,84.45,1059.55,1
139,0,0,0,70.45,70.45,1
3003,1,0,0,79.5,2180.55,1
3979,1,0,0,25.3,1672.35,0
6400,1,0,0,59.75,4265,0
6446,1,0,0,89.85,5125.75,0
463,1,1,1,99.8,673.25,1
4329,1,1,0,94.4,1607.2,1
1233,1,0,0,24.7,1685.9,0
594,0,0,0,45.6,45.6,0
450,1,0,0,24.7,1642.75,0
3768,1,0,0,77.75,4266.4,0
3214,1,0,0,79.6,3974.7,0
5798,1,1,0,85.2,474.8,1
312,1,1,1,115.05,4895.1,0
3411,1,1,1,101.9,5549.4,1
4245,0,0,0,19.7,1275.85,0
6672,0,0,0,20.35,531.6,0
451,0,0,1,69.75,1545.4,0
5686,0,1,0,85.15,503.6,1
890,1,0,0,89.3,2823,0
2763,0,0,0,81.05,5135.35,0
4320,0,0,0,20.85,1539.75,0
1506,0,1,1,54.1,3794.5,0
6909,0,0,0,53.55,53.55,0
6587,1,1,1,103.5,6548.65,0
999,0,1,1,70.3,132.4,0
389,0,0,0,44.0,44,0
2330,1,0,1,64.4,1802.15,0
1476,0,0,0,20.25,36.8,0
2240,1,1,1,89.55,6448.85,0
6327,0,1,0,91.25,2483.65,0
6337,1,1,1,100.9,5448.6,0
5875,0,0,1,71.0,4386.2,0
5938,1,1,1,108.9,3625.2,0
2775,1,0,0,60.05,3229.65,1
1923,0,0,0,19.8,726.1,0
758,0,0,1,85.9,1269.55,1
6595,0,1,1,82.55,5832.65,0
6161,0,0,0,74.35,533.6,0
1293,1,1,1,111.2,7530.8,0
6206,1,0,1,95.65,5088.4,0
6913,1,1,1,108.75,7493.05,0
3268,1,1,1,74.8,1821.2,0
1907,0,1,1,78.5,571.05,0
5641,1,0,0,25.45,958.45,0
4880,0,0,0,20.55,1067.65,0
368,1,1,1,98.65,6962.85,0
1937,0,0,0,19.55,265.3,0
1151,0,0,0,18.85,18.85,0
4461,0,1,1,94.2,2607.6,0
6666,1,1,1,83.85,2310.2,0
6928,0,0,0,55.8,2651.2,0
191,0,0,1,91.0,531,1
6069,0,1,1,76.75,4541.9,0
5762,1,1,0,105.7,3181.8,0
174,0,0,0,20.55,654.55,0
1903,0,1,1,92.0,266.8,0
1099,1,0,0,55.7,259.4,0
4661,1,1,1,89.0,6293.2,0
2927,0,0,0,69.9,69.9,0
2292,1,1,1,91.3,4965,0
6225,1,1,0,106.1,7548.6,0
6850,1,0,0,65.7,4378.9,0
3946,0,1,1,58.5,539.85,1
6052,0,1,1,78.45,3126.45,0
1164,1,0,1,82.7,5831.2,0
3767,1,1,1,110.9,8240.85,0
4031,1,1,1,110.45,7982.5,0
2939,0,0,0,83.8,1029.75,1
5241,0,0,1,64.2,3627.3,0
4975,1,1,1,103.75,7346.2,0
1661,1,1,1,108.8,7082.45,0
508,1,0,0,80.5,502.85,1
166,0,0,0,70.9,273,1
4266,1,0,1,102.0,6529.25,1
4834,1,0,0,24.65,1620.45,0
4240,1,1,0,94.0,773.65,1
4742,0,0,0,20.8,1521.2,0
103,0,1,0,45.55,3027.25,0
5430,1,1,1,72.15,794.25,1
4258,1,1,1,109.55,4830.25,1
4241,0,0,0,61.15,1422.05,1
3795,0,1,0,81.45,912,0
5386,0,0,0,45.8,436.2,0
1752,0,0,0,48.7,1421.75,0
6286,0,0,0,20.05,163.6,0
6688,0,0,0,20.3,224.5,0
2899,0,1,0,53.95,3888.65,0
1658,1,1,1,105.95,5341.8,1
152,1,1,1,108.15,7930.55,0
4102,0,0,0,44.75,333.65,0
2483,1,1,0,100.7,4541.2,1
1583,1,0,0,48.95,273.25,0
5923,0,0,1,89.25,487.05,0
2552,1,0,0,26.9,1250.85,0
6990,0,1,1,93.6,3366.05,0
4624,0,1,1,94.7,740.3,1
3583,0,1,1,60.3,2448.5,0
5166,1,1,1,104.0,6363.45,0
2941,1,1,0,97.95,7114.25,0
6147,0,1,1,99.1,3877.95,0
2209,0,0,0,19.55,161.15,0
4326,0,1,1,89.1,89.1,1
4233,0,1,1,59.55,2016.3,0
1822,1,1,0,86.55,2697.4,1
5428,0,1,1,89.45,853.1,1
3935,0,0,0,19.85,1328.35,0
4220,0,0,0,19.5,1026.35,0
4454,0,0,0,19.4,93.4,0
309,1,1,1,78.75,3682.45,0
212,0,0,0,19.75,1124.2,0
3497,0,0,0,69.3,153.8,0
4213,0,0,0,50.8,288.05,1
5880,0,0,0,29.6,79.45,1
495,0,0,1,43.75,903.6,1
205,0,0,0,79.95,2684.85,0
1434,1,1,1,99.95,1132.75,1
1135,1,1,1,114.65,8333.95,0
2584,0,1,0,65.25,3791.6,0
868,1,0,1,85.55,5084.65,1
2749,1,1,1,77.2,2753.8,0
305,1,0,0,24.8,1229.1,0
1849,0,0,0,45.55,402.6,1
3121,0,1,0,59.4,1023.9,1
1988,1,1,1,108.85,6287.25,1
2798,0,1,1,94.9,1048.85,1
6889,0,1,0,89.85,244.45,0
1534,0,0,0,19.8,1436.95,0
843,0,0,0,30.85,394.1,0
1987,0,1,0,89.15,2257.75,1
5629,0,0,0,20.05,20.05,1
4725,1,0,0,62.05,62.05,1
3552,1,0,1,102.1,7149.35,0
383,1,0,1,90.85,90.85,1
1538,1,1,1,100.85,819.55,1
211,0,0,0,25.25,25.25,0
1957,1,0,0,53.1,2459.8,0
4601,1,1,1,103.65,4747.85,0
2438,1,1,1,103.35,847.3,1
2727,1,1,1,94.85,462.8,1
3257,0,1,1,93.2,2157.3,0
3787,0,1,1,95.3,5817.7,0
1349,0,1,1,49.65,2553.35,0
4402,0,1,0,48.95,1880.85,1
2984,1,0,0,26.0,684.05,0
5385,1,1,0,85.45,4517.25,1
680,0,0,1,80.0,80,1
180,0,0,0,29.95,29.95,1
6702,0,0,1,85.6,1601.5,0
6723,0,0,0,20.05,902,0
6504,0,1,0,79.25,267.6,1
6068,0,0,0,44.55,480.6,1
278,0,1,1,55.0,771.95,0
2970,0,0,0,70.25,331.9,1
6701,0,1,1,100.35,2799,0
2480,1,1,1,93.85,5574.75,1
289,0,0,0,44.85,435.4,1
4370,0,1,1,80.9,1714.95,0
5284,0,1,1,45.7,198,1
993,1,0,0,26.1,225.55,0
2236,0,0,0,71.45,371.6,0
5438,0,0,0,79.9,741.7,1
39,1,1,1,97.85,1105.4,1
4963,0,1,1,73.6,3522.65,0
2754,0,0,0,41.35,107.25,0
5643,0,0,0,75.9,75.9,1
3722,0,0,0,40.65,947.4,0
270,0,1,1,94.45,1511.2,1
3002,0,1,1,81.7,2212.55,0
2883,1,0,0,25.75,1686.15,0
5837,0,1,1,51.4,96.8,0
3128,0,0,0,20.35,122,0
5899,1,0,0,75.7,5060.85,0
111,0,0,0,57.95,3042.25,0
1391,1,0,0,85.8,2440.25,0
2600,0,0,0,70.1,70.1,0
220,0,0,0,70.15,268.35,1
5890,1,1,1,85.35,5897.4,0
4071,0,1,0,38.9,664.4,0
5658,1,1,1,93.0,2248.05,0
83,0,1,1,103.8,4327.5,0
873,0,1,1,50.8,3027.4,1
6524,1,1,1,95.2,930.4,1
4391,0,1,0,59.5,530.05,0
461,0,1,1,69.45,1614.05,0
6188,0,0,0,20.05,358.5,0
551,1,1,1,115.6,8220.4,0
3405,1,0,0,86.8,5327.25,0
2374,0,0,0,19.4,50.6,0
6572,1,1,1,90.8,6302.85,0
2246,1,1,1,102.45,102.45,1
6627,0,0,0,20.35,1267,0
3869,1,1,1,98.25,4858.7,0
2450,1,1,1,110.45,8058.85,0
2329,1,0,1,94.7,5468.95,0
6532,0,0,0,20.35,369.6,0
2146,1,1,1,115.05,7133.45,0
6635,0,0,0,20.1,533.9,0
5900,0,0,0,40.2,1448.8,1
6211,0,1,0,85.75,470.95,1
650,0,0,0,69.55,222.3,1
708,0,0,0,75.3,2263.4,0
6874,0,0,0,49.2,1498.55,0
4977,0,0,0,20.8,469.65,0
5784,0,0,0,74.8,1438.05,0
6325,0,1,0,91.85,1574.45,1
6148,1,0,0,66.9,4577.9,0
1424,0,0,0,19.95,936.7,0
1216,0,0,0,20.4,1090.6,0
5842,1,1,1,78.75,995.35,0
1924,1,1,0,85.35,1961.6,0
6108,0,0,0,25.15,476.8,0
4434,1,0,0,90.7,1374.9,0
314,0,1,0,80.6,415.55,1
3817,0,0,0,20.25,1048.45,0
1427,0,0,0,73.85,3122.4,0
6460,0,1,1,100.55,4398.15,1
6328,1,1,1,89.75,6367.2,0
3956,1,1,1,105.3,545.2,1
5694,0,0,0,51.45,1758.9,0
3008,0,0,0,20.0,211.95,0
5828,1,0,0,24.45,1709.1,0
1105,0,0,1,79.75,769.1,0
6530,0,0,0,36.1,2298.9,0
4317,0,0,0,20.55,57.4,0
7042,0,1,1,105.65,6844.5,0
4882,0,1,1,62.5,4136.4,0
684,0,0,0,71.1,71.1,0
5155,0,1,1,94.4,2638.1,0
2765,0,0,0,70.15,931.75,0
5429,1,0,1,79.5,5661.7,0
4561,1,0,0,55.75,446.8,0
2451,1,1,1,106.1,2847.4,1
5834,1,1,1,105.05,6914.95,0
326,0,1,0,82.9,880.05,0
4988,0,0,0,19.2,459.6,0
5889,0,1,1,50.25,2997.45,0
2176,0,0,0,19.4,1284.2,0
3625,0,0,0,19.85,1379.6,0
4894,1,1,0,71.1,4140.1,0
6093,0,0,1,47.05,3263.6,0
6094,0,0,0,20.55,1252.85,0
2787,1,0,0,26.1,1851.45,0
5071,0,0,0,75.35,75.35,0
5755,1,1,0,96.5,1392.25,0
1676,1,0,0,80.15,319.85,0
348,0,1,1,44.95,996.85,0
5138,1,1,1,106.8,7623.2,0
3599,1,1,0,81.3,3541.1,0
4925,1,1,1,108.5,6880.85,0
1626,1,0,0,59.2,1191.2,0
4273,1,0,0,79.85,2404.15,1
3159,1,1,1,94.85,335.75,0
5041,0,0,0,20.65,417.5,0
871,0,1,1,97.55,5598,0
4883,0,0,0,29.4,221.9,1
4108,0,0,0,19.45,600.25,0
6145,0,1,0,54.2,3623.95,0
2218,0,1,1,82.0,5999.85,0
5521,0,1,0,64.65,3735.45,0
2121,0,0,0,20.45,20.45,0
5985,1,1,0,74.6,4368.95,0
3357,0,0,1,59.2,59.2,1
85,1,1,1,99.3,918.75,0
3937,0,0,0,20.15,68.45,0
1877,1,1,1,88.55,6362.35,0
2801,1,1,1,106.05,6703.5,0
5557,0,1,0,80.2,384.25,0
2640,0,0,1,94.95,2142.8,0
6027,1,0,0,25.45,809.25,0
2880,0,0,1,79.95,1043.4,0
3323,0,0,0,20.25,535.35,0
494,0,0,0,20.4,20.4,0
2019,1,1,1,104.1,7040.85,1
2525,1,0,1,97.75,6991.6,0
