,Churn
3844,1
996,1
5081,0
1652,0
5678,1
1038,0
5120,1
3901,0
6512,0
4387,0
852,0
2245,0
2095,1
19,0
4824,0
3346,0
6638,0
642,1
865,1
5595,0
1665,0
6859,0
6072,0
3929,0
3785,1
1499,0
4837,1
6133,0
736,0
1192,1
6490,0
5337,0
4505,0
469,1
5948,0
3221,0
4746,1
4229,0
6266,1
247,1
3753,0
6819,1
6927,0
4619,1
5094,0
5650,0
5508,0
500,0
1726,0
2399,0
3703,0
6964,0
1737,0
3484,0
4028,0
3805,1
228,0
1467,0
1978,0
800,0
17,0
5473,0
6880,0
1801,0
2825,0
5942,1
6606,1
960,0
6539,0
2949,0
1615,0
5763,0
2821,1
3651,0
1888,0
706,0
2287,1
6088,1
2651,1
625,0
1718,0
4832,0
3504,0
5245,0
1103,0
1244,1
96,0
3480,0
1005,0
1261,0
1078,0
156,0
4656,0
4411,0
2077,1
6634,1
425,0
6994,0
3617,1
2623,0
447,0
5453,0
3698,0
2210,0
4019,1
3973,0
2934,0
6569,0
3692,0
4713,0
2771,0
4192,0
1199,0
6404,0
5381,1
5941,0
3018,0
5190,0
93,0
4471,1
1321,0
5756,0
4456,0
1595,1
2348,0
5688,0
4584,0
476,0
5458,1
2432,0
5965,0
3460,0
1034,0
1775,0
6284,0
2835,0
2031,0
3820,0
1559,0
2592,0
4288,1
487,0
3320,0
1115,0
6156,0
4615,0
561,0
1730,1
3262,1
4334,0
756,0
334,1
4507,0
5400,0
2705,0
23,0
6849,0
2124,1
4401,0
2229,0
3578,0
6579,0
1926,1
3362,1
1859,1
1277,0
5648,0
4755,0
6578,0
6152,1
3197,1
712,0
6686,0
3244,0
3207,0
2407,1
4862,1
4013,0
5294,0
6033,1
6297,0
5707,0
1893,0
982,0
1657,0
5255,0
3102,1
4885,0
2098,0
378,0
3799,1
5064,1
199,0
5987,0
4354,0
2753,1
3662,1
6861,1
4173,0
1193,0
4865,0
2486,0
5555,0
3238,0
2877,1
3606,0
4172,0
4307,1
828,1
5702,1
3164,0
6766,0
6639,0
5676,0
2948,1
1897,1
6083,0
1535,0
1465,0
4909,0
4724,0
1912,0
547,0
6219,1
1335,1
1385,0
1176,1
3571,0
5983,0
1352,0
5061,0
4247,0
5693,0
2191,1
3861,0
3347,0
5151,0
2706,1
683,0
2577,1
518,1
611,1
6993,1
2119,0
3308,0
3478,0
491,0
5364,1
4512,0
323,0
2764,0
3151,0
3163,0
1201,0
3907,0
1966,0
7034,1
324,0
6795,0
586,0
4503,1
5283,0
3608,1
2114,0
1554,0
4817,0
5957,1
5123,1
3217,0
5826,1
1372,0
763,0
6576,0
2859,0
88,0
1055,0
5102,0
2906,0
2732,0
3352,1
2628,0
6341,1
6813,1
1407,0
198,0
1954,1
3270,0
2272,0
73,0
2699,0
5817,1
3431,1
5922,0
4236,0
7023,0
2865,0
5571,0
6867,0
5351,1
5163,0
2981,0
1175,0
5046,0
1747,1
6350,0
5154,1
6422,0
6646,0
5476,1
3454,0
4959,1
2083,1
2404,0
5705,0
4462,1
4157,0
5934,1
6272,0
2570,1
3779,1
3540,0
5893,0
208,1
1433,0
6670,0
4412,0
620,0
4979,0
1511,0
6624,0
3181,0
5304,0
478,1
3290,0
1979,0
5657,0
3960,0
5738,1
3955,0
1108,0
5748,0
286,0
550,0
4970,0
6564,0
4355,0
5271,0
6230,0
1934,1
5227,0
5397,1
4564,1
401,0
4140,1
747,0
5836,0
41,0
1643,0
5743,0
4299,0
5201,0
1009,0
5711,1
4196,0
737,0
1022,0
4002,0
6940,0
6029,0
5112,1
5021,0
2882,0
5026,0
1755,0
5316,0
5984,1
4239,0
6258,0
2045,0
1550,0
4362,0
3438,1
2517,1
3905,1
6520,1
1507,0
1915,0
4332,0
549,0
1728,0
4728,0
4628,0
296,0
5559,0
6257,1
4763,0
4995,1
6656,0
3548,0
3024,0
6847,0
100,0
3407,0
5905,0
5379,0
4055,0
5882,0
2966,0
2233,0
5777,0
5156,0
798,0
2155,1
2091,0
1400,0
1425,0
927,1
3035,0
346,1
6675,0
1047,0
2197,0
1423,1
681,0
2264,0
4141,0
5603,1
87,0
465,0
2582,0
3856,0
1786,1
5724,1
1582,0
3050,1
6058,0
6704,0
5480,0
3439,1
157,0
351,0
3685,0
6114,0
6505,0
1215,1
1740,0
2860,0
4950,1
4378,0
1539,0
743,0
5821,0
84,0
6461,0
2985,0
2189,0
2805,0
4290,1
3058,1
4930,0
5325,0
2605,0
6970,1
2522,0
2117,0
3996,0
6784,0
1373,0
1297,0
5517,0
167,0
4984,0
5793,0
1488,0
6273,1
4513,1
5333,1
3483,0
6262,0
6311,0
1446,0
1074,0
3269,0
5647,0
4414,0
4314,1
6020,0
2778,0
6710,0
1487,0
2571,0
4787,0
3388,0
5631,0
1295,0
1600,1
1964,0
5001,1
5548,0
3611,0
4001,0
6657,0
5597,1
373,0
5006,1
5078,0
1168,0
308,0
1046,0
2505,0
3707,0
6385,1
1768,0
6492,0
3395,0
1281,0
4510,0
5198,1
1039,1
5075,0
812,0
65,0
965,1
1421,1
3386,0
1181,1
4087,0
5904,0
4160,0
3841,1
4004,0
1721,1
486,0
6410,0
2864,0
5007,0
2755,0
2276,0
921,0
322,0
248,1
5437,1
6768,0
5210,1
2513,0
3529,0
231,0
1210,1
6459,0
6630,0
7025,0
2389,0
5531,0
91,0
6906,0
318,1
4981,1
3752,0
2728,0
5605,0
4500,0
4101,0
1501,0
3379,0
1835,0
6308,0
3950,1
2018,1
6690,0
4635,0
1618,1
5196,0
2770,1
5815,1
5668,0
6383,0
3809,0
5549,1
5858,0
2789,0
1512,0
2199,0
1412,1
2112,0
4623,0
265,0
3878,0
1656,0
6191,0
838,0
14,0
3027,0
1558,1
1163,1
8,1
4039,0
2802,1
3939,1
5130,1
339,1
1694,1
3282,0
2022,0
1426,0
622,0
6971,1
4782,0
5469,0
6958,0
1438,0
2885,0
6641,1
1844,0
2548,0
196,0
4614,0
1869,0
4528,0
6344,1
6739,0
432,0
2215,0
5260,0
6001,0
1480,0
5137,0
3169,0
4653,1
2850,0
1760,0
604,0
2157,0
3132,0
6765,0
6508,1
5636,1
4693,0
3393,0
4201,0
3550,1
5782,1
5419,0
1891,1
4275,0
4738,1
1545,0
904,0
6602,0
6123,0
4999,0
4879,0
1703,0
4257,0
3870,0
5038,0
1720,0
4776,0
4122,0
5261,0
3479,1
1498,1
254,0
3016,1
221,0
3794,0
4800,1
4291,0
5807,0
2208,1
1195,0
1782,0
6552,1
1320,0
3765,0
6799,0
2488,1
1578,1
376,0
755,1
291,0
5910,0
4914,0
188,0
4382,0
1419,0
2476,0
3945,1
501,0
1197,0
5327,0
6983,0
5267,0
4119,0
6517,0
672,1
3984,0
1374,0
5975,1
6367,0
2178,0
5516,1
4270,0
216,0
3954,0
421,0
5099,1
4664,1
5028,0
506,0
3467,1
6809,1
1544,0
1315,0
4537,0
4054,0
3043,1
2799,0
2641,0
4498,0
3551,1
347,0
6529,1
333,1
6830,0
6056,0
6154,0
5422,0
6592,0
6955,0
1922,0
746,0
6910,0
1670,1
6618,0
4059,1
4271,0
2473,0
4048,0
259,0
1741,0
3829,1
2020,0
4586,0
1860,0
599,0
45,0
4622,0
6277,1
5022,0
6919,0
5701,0
1221,0
2458,0
5306,1
2228,0
3886,0
426,0
1569,0
805,0
410,1
6931,0
3574,0
438,0
3666,1
434,0
1805,0
6901,0
3621,1
6810,1
5266,0
1566,0
4761,0
5420,0
1049,1
626,0
1669,0
210,1
3126,0
6000,0
2226,0
51,1
1109,0
1617,0
6725,0
4222,0
1543,1
4907,0
6177,1
5981,0
2284,0
6431,0
4582,0
3509,0
2318,0
3463,0
5462,0
2991,0
1840,1
6280,0
2057,1
1864,0
705,1
6254,0
2069,1
5859,0
4558,1
5547,1
527,0
1533,1
565,0
1620,0
2268,0
640,0
4590,0
730,1
6566,0
4447,0
325,0
6728,0
290,1
1886,0
5180,0
1683,0
4149,1
4641,0
1945,0
6255,0
5105,1
4335,0
864,1
5740,0
5960,0
4758,0
4886,0
4939,0
4126,0
371,1
3985,0
2698,0
4679,0
1562,0
2751,0
6128,0
5414,1
4836,0
1921,0
6376,0
1783,1
4774,0
3076,1
4696,0
3260,1
122,1
479,1
1632,1
6796,1
2879,1
1436,1
6186,1
940,0
3366,0
6853,1
439,0
847,0
4634,0
3208,0
7010,1
3881,0
1173,1
4127,0
2549,0
4698,1
6143,0
4626,0
2887,1
5391,0
279,0
4296,1
2115,0
3757,0
6875,0
6081,0
4463,1
2534,0
2107,0
1101,0
4371,0
2794,0
4801,0
577,0
59,0
4342,0
787,0
3538,0
5008,0
2881,0
6089,1
2317,0
1370,0
1183,0
1883,1
6462,1
1894,0
2575,0
6561,0
5973,0
184,1
1565,0
1871,0
420,0
5832,1
553,0
1732,0
2138,0
6542,1
6073,0
443,0
6497,0
1608,0
6450,0
1765,0
1586,0
3313,0
5328,0
181,0
5786,0
794,0
1420,0
1477,1
3721,1
1940,0
1992,0
4074,1
6061,0
3370,0
4666,0
6498,1
530,0
6848,0
710,1
2357,0
6493,0
558,0
5927,0
2306,0
1371,1
5872,1
6629,0
907,0
6226,0
4376,0
5970,0
6253,0
2453,0
4715,0
1872,0
5773,0
3773,1
926,1
2481,0
5481,1
3404,0
15,0
6366,0
315,0
2439,0
5002,0
1161,1
2142,0
1623,0
6074,1
1362,1
6754,0
1212,0
2722,0
4006,0
6791,1
5466,0
5852,1
4195,0
4166,0
5234,0
3414,0
1803,0
6203,0
5285,0
1323,0
5666,0
1941,0
6601,0
1902,0
3704,0
387,0
5550,0
1032,1
4523,0
6582,0
5587,0
3306,0
6625,1
3316,0
1010,0
3641,0
931,0
6352,0
691,0
533,0
6451,0
2227,0
652,0
33,0
4118,0
44,0
6767,0
5100,1
964,1
5589,1
2415,1
6202,1
2263,1
5202,0
4450,1
5247,1
6306,0
5244,0
2316,0
2617,1
26,1
3605,0
63,0
1044,0
3660,0
5360,1
2656,0
1454,0
227,1
6984,0
3080,0
3317,0
5035,0
3184,0
2833,0
3539,1
969,1
4603,0
5751,0
2662,1
4094,0
6034,0
3813,0
2387,0
4224,0
6375,1
3567,1
4148,0
2646,0
6626,1
252,1
5435,0
4554,0
3975,1
4847,1
5719,0
2818,1
1702,1
4428,1
4808,0
3790,1
5722,1
4041,0
2094,0
2843,0
641,1
6140,0
3882,0
4405,1
297,0
303,0
2406,1
5816,0
3154,0
1839,0
4384,1
4306,0
655,0
4139,0
4686,0
4775,1
240,0
783,1
1354,1
1018,0
4912,1
977,0
809,1
6755,0
5036,1
257,0
893,1
5936,0
4366,0
3589,0
5162,0
5229,1
5167,0
3288,0
6698,0
2132,0
6243,0
5520,0
1357,0
1561,1
6054,1
2251,0
5474,0
2471,1
3133,0
2024,0
4687,1
2986,0
2042,0
4905,0
2876,0
2669,1
4756,0
5728,1
4098,1
7018,1
3806,0
6842,0
3475,0
1092,0
5867,0
124,0
4152,0
6882,0
4489,0
2922,1
2516,1
6038,1
1553,0
3482,0
2886,0
598,0
75,0
1339,1
1416,0
4772,0
1649,0
5652,0
3206,0
4024,0
2829,1
149,0
3001,0
1557,0
3931,0
453,1
4427,0
1832,1
3250,0
5663,0
808,1
2002,0
3353,0
3824,0
1671,0
1119,0
4353,1
810,1
1129,0
834,1
6124,0
5413,0
6732,0
1971,0
1235,0
1225,1
4051,0
2344,0
6227,1
4352,0
2273,0
1729,0
6785,1
2181,0
1027,0
3082,0
5205,0
349,0
452,0
662,0
172,0
1405,1
5857,1
4250,0
4550,0
422,0
3017,0
3326,1
881,0
3450,0
1253,1
6268,0
6210,0
2225,0
4121,1
6563,1
1905,0
102,0
3014,0
4301,0
6678,0
4269,1
2447,0
1580,0
3803,1
3481,0
4871,0
3877,1
5192,0
135,0
2521,1
4151,0
1918,0
6332,0
4697,0
4750,0
2666,0
5110,0
2925,0
3066,0
1789,0
5288,1
807,0
462,1
879,0
3248,1
4726,0
5680,1
6790,0
4377,0
799,1
354,1
3964,0
1073,1
3101,0
5594,0
144,0
380,0
1340,0
4168,0
6510,0
121,0
3745,1
3612,0
1360,1
418,1
6348,0
5546,0
1514,0
4184,1
5455,0
3100,0
2063,0
555,0
2312,0
3543,0
5440,0
1485,1
5017,0
1272,0
6598,0
1411,0
5076,1
6915,0
1471,0
2266,0
5503,0
5077,0
5635,0
4154,1
6679,0
3165,0
2436,0
2868,0
6612,1
981,0
5974,0
6063,0
3246,1
6207,1
1268,1
414,0
268,1
3127,1
654,1
3011,0
6394,0
2223,1
6989,0
2337,1
3541,0
773,1
2446,1
589,0
2907,1
2127,1
2996,0
3896,0
3038,0
6441,0
2465,1
3377,0
701,0
5845,1
2301,0
5121,0
677,1
6062,0
6607,1
2598,0
2345,0
4093,0
693,1
1513,1
6067,0
6105,1
6189,0
110,1
3852,0
6474,0
6270,0
2131,0
4085,0
1919,1
856,0
3408,1
5950,0
6554,1
2510,1
6897,0
4169,1
4392,0
1758,0
3337,0
3203,0
605,0
6986,1
3034,1
6691,0
1468,0
5178,0
2812,1
6171,0
5079,0
2921,1
107,0
29,1
3780,0
3150,0
3616,0
5346,0
4940,0
751,0
3168,0
584,0
1220,0
5040,0
6614,0
3274,0
6053,0
548,0
5448,0
6921,0
2874,0
6548,0
3715,0
2291,1
6783,0
6887,0
3396,0
4945,0
1203,0
344,0
4328,0
5907,0
1575,1
2900,1
6604,0
3047,1
3131,0
5853,0
4072,0
2173,0
90,0
7006,1
5487,0
4383,0
2252,0
6696,0
624,1
69,0
889,1
4845,0
5340,0
5274,0
6868,1
3921,0
5072,0
947,0
877,0
6806,0
6575,0
2462,0
293,0
5446,1
3091,0
445,1
4020,0
1961,0
2846,0
3614,0
1880,1
5186,1
4690,0
3570,0
4917,0
4678,1
5213,0
5030,1
4922,0
367,0
5243,0
5331,0
2540,0
6316,0
3392,0
6923,0
6455,0
4684,1
3105,0
3279,0
3720,0
4541,1
4965,1
4581,0
3871,1
5020,0
1186,0
3428,1
5004,0
3866,0
6827,0
5349,0
6888,0
151,1
1858,1
2464,1
1033,0
1383,1
915,1
1305,0
6682,0
3098,1
4983,1
509,0
5894,1
5963,0
6049,0
2647,0
5799,1
6022,0
748,0
2304,0
4076,0
5410,0
1310,1
1611,0
6988,0
911,0
2673,1
2499,0
3089,0
5200,0
5096,0
2680,0
2126,0
471,1
967,0
7013,0
4056,1
4602,0
5873,0
6648,0
3815,1
896,0
5329,1
4284,0
5785,0
1773,0
3307,0
251,1
1209,0
2688,1
3885,0
2937,0
3071,0
4605,0
1128,0
2890,1
4479,0
1593,0
2603,0
3607,0
57,0
1699,0
1322,0
176,1
3182,0
6116,0
2995,0
6997,0
6155,1
292,0
1142,0
2328,0
3728,0
183,0
1170,0
4838,0
5649,0
5332,0
5931,1
5737,0
3523,0
1086,1
2781,0
4112,0
1172,0
2470,0
3661,0
2166,0
5761,0
2133,1
7005,0
4458,1
4731,0
2589,1
4050,0
2183,0
3114,0
1956,0
613,0
3528,1
2944,0
6878,1
3734,0
1430,0
4815,1
1876,0
1748,0
6347,0
505,1
415,0
6924,1
272,1
2942,0
1706,0
5901,1
4557,0
2807,0
6142,1
5887,0
2441,0
106,0
1344,0
6811,1
4651,1
6722,0
3349,1
2182,0
952,0
5833,0
2586,0
2417,0
1504,0
4927,0
7003,0
3849,1
6080,1
4812,1
1121,0
3819,0
5447,0
6782,0
1024,0
5696,1
4483,0
5506,0
4252,0
2795,1
416,0
2827,0
4828,0
2629,1
3341,0
564,0
1224,1
142,0
3942,1
2271,0
2531,0
2004,1
1194,0
6965,0
1756,0
497,0
3477,0
6885,1
3315,0
721,0
5118,0
3859,0
1496,0
6637,0
1520,0
4482,1
3770,0
3006,1
5891,1
5673,0
108,0
1754,0
6741,1
1351,0
6110,0
4888,0
5708,0
1973,0
336,1
4941,1
6201,0
3139,1
5614,0
724,1
765,0
2997,1
3783,0
307,0
4034,0
3039,0
3846,0
5720,0
2550,0
6379,1
1791,0
3245,1
2842,0
5729,0
2053,1
2398,0
71,0
4903,1
3210,0
1260,0
1666,0
5522,1
6377,1
5500,0
2392,0
6705,0
1695,0
1095,0
3889,0
3667,0
2902,0
1630,0
4294,0
1881,0
4710,0
1612,1
978,1
6252,0
4993,0
2578,1
848,0
2916,0
4010,0
3912,0
2154,0
47,1
3303,1
1350,0
5321,0
446,1
1743,0
844,1
6138,0
2418,0
3742,0
3535,0
4081,1
1294,1
2972,0
3834,1
6577,0
5027,1
5553,1
1112,0
776,0
6655,0
2153,0
4778,0
4796,0
6742,0
4827,1
3413,0
1851,1
1963,0
2288,0
3933,0
3007,1
485,0
2413,0
4680,0
5394,0
30,0
1879,1
2684,0
4727,0
6509,1
4534,0
4803,0
3298,0
636,0
5543,0
2375,0
1083,1
861,0
3195,0
903,0
2845,0
109,0
6774,0
3751,0
3620,0
2338,0
5913,0
4538,1
4915,0
1831,0
5576,1
782,0
6877,1
3334,1
6708,1
2862,1
1825,0
1094,0
4928,1
3109,0
2619,1
4262,1
3980,1
5436,0
1654,0
5860,1
7041,1
4567,0
3836,0
4570,0
6224,0
4385,0
6421,0
2457,0
3383,1
2588,0
1204,0
2202,1
2648,0
4655,0
5425,0
4674,0
7004,0
1770,1
829,0
7031,0
6814,0
627,0
4125,0
925,0
295,0
1052,0
3688,0
3563,0
2260,1
944,0
5599,1
5839,0
12,0
1117,0
6087,0
5369,0
3903,0
6452,0
1319,1
3947,0
6883,0
6440,0
3213,0
6263,0
3252,0
653,0
3992,0
6409,0
3982,0
2431,1
6870,0
5527,0
3706,0
2423,0
6240,1
2804,1
4881,0
570,0
1448,0
4532,1
6651,0
1745,0
3434,0
4420,0
287,1
1738,0
6345,0
6213,0
2664,0
3832,0
6092,0
3424,1
5770,0
1684,0
4578,0
1338,1
2952,0
5776,0
3135,1
6821,1
2258,0
4015,0
4253,0
3053,0
2498,0
5471,0
1564,1
5372,0
6957,0
5885,0
2185,1
5519,0
1231,0
4418,1
1258,0
2254,0
1951,0
6543,0
113,1
5976,0
5149,0
4813,0
507,1
3545,0
3807,1
2932,0
2515,0
3402,1
4099,0
6623,1
350,0
4147,0
3542,0
3759,1
1114,0
4958,0
298,0
3318,1
5586,0
6654,1
5362,0
5746,1
2840,0
229,0
5958,0
2992,0
6905,0
5706,1
4519,0
2103,0
6443,0
2677,1
4526,0
4695,0
1614,0
607,0
5312,1
1093,0
5700,0
