,Unnamed: 0,gender,SeniorCitizen,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
66,66,Male,0,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Electronic check,78.9,3650.35,No
67,67,Female,0,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Mailed check,79.2,2497.2,No
68,68,Female,0,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.15,930.9,No
69,69,Male,0,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Mailed check,79.85,887.35,No
70,70,Male,0,1,Yes,No,DSL,No,No,No,No,No,No,Mailed check,49.05,49.05,No
71,71,Female,0,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,20.4,1090.65,No
72,72,Male,1,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),111.6,7099,No
73,73,Male,0,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),24.25,1424.6,No
74,74,Female,0,3,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Bank transfer (automatic),64.5,177.4,No
75,75,Female,1,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Electronic check,110.5,6139.5,No
76,76,Female,0,46,Yes,No,DSL,No,No,No,No,Yes,No,Credit card (automatic),55.65,2688.85,No
77,77,Female,0,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Mailed check,54.65,482.25,No
78,78,Male,1,30,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Electronic check,74.75,2111.3,No
79,79,Female,0,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),25.9,1216.6,No
80,80,Female,0,1,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Electronic check,79.35,79.35,Yes
81,81,Female,0,11,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Electronic check,50.55,565.35,No
82,82,Female,0,7,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Bank transfer (automatic),75.15,496.9,Yes
83,83,Female,0,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),103.8,4327.5,No
84,84,Female,0,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),20.15,973.35,No
85,85,Male,0,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),99.3,918.75,No
86,86,Female,0,35,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),62.15,2215.45,No
87,87,Female,0,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.65,1057,No
88,88,Female,0,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.95,927.1,No
89,89,Male,0,29,No,No phone service,DSL,No,No,No,Yes,No,No,Mailed check,33.75,1009.25,No
90,90,Male,0,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Bank transfer (automatic),82.05,2570.2,No
91,91,Male,1,1,Yes,No,Fiber optic,No,No,No,No,No,No,Electronic check,74.7,74.7,No
92,92,Male,0,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Mailed check,84.0,5714.25,No
93,93,Female,0,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),111.05,7107,No
94,94,Male,0,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),100.9,7459.05,No
95,95,Female,0,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Electronic check,78.95,927.35,Yes
96,96,Male,0,71,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Credit card (automatic),66.85,4748.7,No
97,97,Male,0,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,21.05,113.85,Yes
98,98,Male,0,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),21.0,1107.2,No
99,99,Female,1,25,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Electronic check,98.5,2514.5,Yes
100,100,Male,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.2,20.2,No
101,101,Female,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19.45,19.45,No
102,102,Male,0,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Bank transfer (automatic),95.0,3605.6,No
103,103,Female,1,66,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Bank transfer (automatic),45.55,3027.25,No
104,104,Male,0,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),110.0,7611.85,Yes
105,105,Male,0,5,No,No phone service,DSL,No,No,No,No,No,No,Mailed check,24.3,100.2,No
106,106,Female,0,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Electronic check,104.15,7303.05,No
107,107,Female,0,32,No,No phone service,DSL,Yes,No,No,No,No,No,Mailed check,30.15,927.65,No
108,108,Male,0,43,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Mailed check,94.35,3921.3,No
109,109,Male,0,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.4,1363.25,No
110,110,Male,0,55,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Electronic check,96.75,5238.9,Yes
111,111,Female,0,52,Yes,No,DSL,Yes,No,Yes,No,No,No,Credit card (automatic),57.95,3042.25,No
112,112,Female,0,43,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Electronic check,91.65,3954.1,No
113,113,Female,1,37,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Electronic check,76.5,2868.15,Yes
114,114,Female,0,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Electronic check,54.6,3423.5,No
115,115,Male,0,3,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Electronic check,89.85,248.4,No
116,116,Female,0,36,No,No phone service,DSL,Yes,No,No,No,No,No,Bank transfer (automatic),31.05,1126.35,No
117,117,Female,0,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Electronic check,100.25,1064.65,Yes
118,118,Female,0,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.65,835.15,No
119,119,Male,0,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Credit card (automatic),85.2,2151.6,No
120,120,Female,0,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),99.8,5515.45,No
121,121,Female,0,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.7,112.75,No
122,122,Male,0,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Electronic check,74.4,229.55,Yes
123,123,Female,0,7,Yes,No,DSL,Yes,No,No,No,No,No,Mailed check,50.7,350.35,No
124,124,Female,0,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.85,62.9,No
125,125,Male,0,33,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Electronic check,88.95,3027.65,No
126,126,Female,1,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Electronic check,78.05,2135.5,Yes
127,127,Male,0,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),23.55,1723.95,No
128,128,Male,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.75,19.75,No
129,129,Male,1,71,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Electronic check,56.45,3985.35,No
130,130,Female,0,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Electronic check,85.95,1215.65,No
131,131,Female,0,25,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),58.6,1502.65,Yes
132,132,Male,0,67,Yes,No,DSL,No,No,No,No,No,No,Bank transfer (automatic),50.55,3260.1,No
133,133,Male,0,1,No,No phone service,DSL,No,No,No,No,Yes,Yes,Electronic check,35.45,35.45,Yes
134,134,Male,0,2,Yes,No,DSL,No,No,No,No,No,No,Electronic check,44.35,81.25,Yes
135,135,Female,0,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),25.7,1188.2,No
136,136,Female,0,23,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Bank transfer (automatic),75.0,1778.5,No
137,137,Female,0,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.2,1277.75,No
138,138,Male,0,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.6,1170.55,No
139,139,Female,1,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Mailed check,70.45,70.45,Yes
140,140,Female,1,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),88.05,6425.65,No
141,141,Female,0,8,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Electronic check,71.15,563.65,Yes
142,142,Female,0,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),101.05,5971.25,No
143,143,Male,0,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Credit card (automatic),84.3,5289.05,No
144,144,Male,1,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),23.95,1756.2,No
145,145,Female,0,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Credit card (automatic),99.05,6416.7,No
146,146,Male,0,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.6,61.35,No
147,147,Male,0,1,Yes,No,DSL,No,No,No,No,No,Yes,Electronic check,45.65,45.65,Yes
148,148,Male,0,30,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Credit card (automatic),64.5,1929.95,No
149,149,Male,0,15,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Mailed check,69.5,1071.4,No
150,150,Female,0,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Electronic check,68.55,564.35,No
151,151,Male,0,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Mailed check,95.0,655.5,Yes
152,152,Female,0,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),108.15,7930.55,No
153,153,Male,0,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Electronic check,86.1,5215.25,No
154,154,Female,0,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.7,113.5,No
155,155,Female,0,14,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Bank transfer (automatic),80.9,1152.8,No
156,156,Female,0,22,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Bank transfer (automatic),84.15,1821.95,No
157,157,Male,0,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.15,419.9,No
158,158,Male,0,16,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Mailed check,64.25,1024,No
159,159,Male,0,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),25.7,251.6,No
160,160,Female,0,13,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Electronic check,56.0,764.55,No
161,161,Female,0,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Electronic check,82.4,1592.35,Yes
162,162,Female,0,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Electronic check,69.7,135.2,No
163,163,Male,0,53,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),73.9,3958.25,No
164,164,Female,0,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.6,233.9,No
165,165,Male,0,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.9,1363.45,No
166,166,Female,0,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Bank transfer (automatic),70.9,273,Yes
167,167,Male,0,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),89.05,6254.45,No
168,168,Male,1,58,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Electronic check,45.3,2651.2,Yes
169,169,Female,0,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,20.4,321.4,No
170,170,Male,0,43,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Bank transfer (automatic),84.25,3539.25,No
171,171,Female,0,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,104.4,242.8,Yes
172,172,Male,0,14,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Mailed check,81.95,1181.75,No
173,173,Female,0,53,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),94.85,5000.2,Yes
174,174,Female,0,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.55,654.55,No
175,175,Female,0,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,24.7,780.2,No
176,176,Female,1,15,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Mailed check,74.45,1145.7,Yes
177,177,Female,1,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Bank transfer (automatic),76.45,503.6,Yes
178,178,Female,0,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),105.35,1559.25,No
179,179,Male,0,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),20.55,1252,No
180,180,Female,0,1,No,No phone service,DSL,No,Yes,No,No,No,No,Bank transfer (automatic),29.95,29.95,Yes
181,181,Female,0,1,Yes,No,DSL,No,No,No,No,No,No,Mailed check,45.3,45.3,No
182,182,Male,0,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Bank transfer (automatic),84.5,662.65,Yes
183,183,Male,0,33,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Credit card (automatic),74.75,2453.3,No
184,184,Female,0,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Electronic check,79.25,1111.65,Yes
185,185,Female,0,1,No,No phone service,DSL,No,No,No,No,No,Yes,Electronic check,24.8,24.8,Yes
186,186,Male,0,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Mailed check,51.8,1023.85,No
187,187,Male,0,3,No,No phone service,DSL,No,No,No,No,No,No,Electronic check,30.4,82.15,No
188,188,Female,0,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19.65,244.8,No
189,189,Female,0,40,Yes,Yes,DSL,No,Yes,No,No,No,No,Credit card (automatic),56.6,2379.1,No
190,190,Male,0,43,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Credit card (automatic),71.9,3173.35,No
191,191,Male,0,6,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Electronic check,91.0,531,Yes
192,192,Female,0,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.75,1375.4,No
193,193,Female,0,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),109.7,8129.3,No
194,194,Male,0,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.3,1192.7,No
195,195,Female,0,20,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Electronic check,96.55,1901.65,No
196,196,Male,0,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),24.1,587.4,No
197,197,Male,0,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Electronic check,111.35,6519.75,No
198,198,Male,0,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),112.25,8041.65,No
199,199,Male,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.75,20.75,No
200,200,Female,0,27,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),101.9,2681.15,No
201,201,Female,0,14,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Credit card (automatic),80.05,1112.3,No
202,202,Male,0,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Electronic check,105.55,7405.5,No
203,203,Male,0,13,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Credit card (automatic),78.3,1033.95,No
204,204,Male,0,44,Yes,No,Fiber optic,No,No,No,No,No,No,Credit card (automatic),68.85,2958.95,No
205,205,Female,0,33,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Bank transfer (automatic),79.95,2684.85,No
206,206,Male,0,72,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),55.45,4179.2,No
207,207,Male,0,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Electronic check,79.9,79.9,Yes
208,208,Female,0,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Electronic check,106.6,1934.45,Yes
209,209,Male,0,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),102.45,6654.1,No
210,210,Male,0,2,Yes,No,DSL,No,No,No,No,No,Yes,Credit card (automatic),46.0,84.5,Yes
211,211,Female,0,1,No,No phone service,DSL,No,No,No,No,No,No,Electronic check,25.25,25.25,No
212,212,Male,0,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.75,1124.2,No
213,213,Female,0,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,20.0,540.05,No
214,214,Male,1,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Electronic check,86.8,1975.85,No
215,215,Female,0,57,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),58.75,3437.45,No
216,216,Male,0,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Credit card (automatic),45.25,3139.8,No
217,217,Male,0,66,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),56.6,3789.2,No
218,218,Male,0,65,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),84.2,5324.5,No
219,219,Female,0,8,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Bank transfer (automatic),80.0,624.6,No
220,220,Female,0,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Electronic check,70.15,268.35,Yes
221,221,Female,0,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),24.75,1836.9,No
222,222,Male,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,20.2,20.2,No
